youthPolicy.rnum,youthPolicy.bizId,youthPolicy.polyBizSecd,youthPolicy.polyBizTy,youthPolicy.polyBizSjnm,youthPolicy.polyItcnCn,youthPolicy.sporCn,youthPolicy.sporScvl,youthPolicy.bizPrdCn,youthPolicy.prdRpttSecd,youthPolicy.rqutPrdCn,youthPolicy.ageInfo,youthPolicy.majrRqisCn,youthPolicy.empmSttsCn,youthPolicy.splzRlmRqisCn,youthPolicy.accrRqisCn,youthPolicy.prcpCn,youthPolicy.aditRscn,youthPolicy.prcpLmttTrgtCn,youthPolicy.rqutProcCn,youthPolicy.pstnPaprCn,youthPolicy.jdgnPresCn,youthPolicy.rqutUrla,youthPolicy.rfcSiteUrla1,youthPolicy.rfcSiteUrla2,youthPolicy.mngtMson,youthPolicy.mngtMrofCherCn,youthPolicy.cherCtpcCn,youthPolicy.cnsgNmor,youthPolicy.tintCherCn,youthPolicy.tintCherCtpcCn,youthPolicy.etct,youthPolicy.polyRlmCd
23,R2023091417266,경북,지자체,2023년 구미 취업 희망 구직자 지원 사업(변경),? 사 업 명 : 2023년 구미 취업 희망 구직자 지원 사업(1社-1청년 더채용 지원사업의 세부사업),지원내용 ? 구직지원금 : 1회당 5만원 지원(1인 최대 2회까지 신청 가능) ? 취업축하금 : 1회 20만원 지원(1회만 신청 가능),약 100명,2023-06-01~2023-12-29,2004,신청기간 : 2023. 08. 30 ~ 2023. 12. 1. (예산 소진 시 조기종료),제한없음,-,-,제한없음,-,"지원대상
- 구직지원금 (면접)
 ? 만 17세 이상 ~ 만 18세 이하인 자 ※ 생년월일 2005. 1. 1. ~ 2006. 12. 31.
 ? 주민등록상 구미에 거주하는 자(신청일 기준) 
? 구미시 소재한 기업에 면접을 본 자 ※ 2023. 1. 1. 이후 면접에 참여한 자만 신청 가능 ※ 국가 및 공공기관(공기업 준정부기관 지방공기업 등) 지방자치단체 출자·출연 기관·단체 제외
- 취업축하금 
(취업) ? 만 39세 이하 근로자 ※ 생년월일 1984. 1. 1. 이후 출생자 ? 주민등록상 구미에 거주하는 자(신청일 기준) ? 구미시 소재 제조업을 영위하는 중소·중견 기업에 취업을 한 자 ※ 2023. 1. 1. 이후 입사하였으며 2개월 이상 근무 중인 자",-,-,신청방법 : 구미상공회의소 홈페이지(http://gumicci.korcham.net/) 내 공지사항 게시글 참조 첨부파일 신청서 및 개인정보동의서 작성 구비서류와 함께 스캔 후 메일(leejs1@korcham.net) 송부 (신청서류를 1개의 PDF 파일로 제출),-,선정기준 ① 제출서류 검토를 통한 자격요건 충족 여부 확인 ② 선착순 신청 접수 (제출서류 미비할 시 신청 반려) ③ 선정된 후 결격사유가 확인 될 경우 선정취소 및 지원금 환수 조치,http://gbyouth.co.kr/policy/list.tc?mn=2379&pageNo=5069&no=468,http://gbyouth.co.kr/policy/list.tc?mn=2379&pageNo=5069&no=468,-,구미시 인구청년과,-,구미상공회의소 기업지원팀(☎054-454-6603),구미상공회의소,-,구미상공회의소 기업지원팀(☎054-454-6603),-,일자리
24,R2023091317223,전북,지자체,익산시 청년도전 지원사업 참여자 모집,구직단념청년 등을 발굴하고 구직의욕 고취 및 자신감 강화를 위한 맞춤형 프로그램을 제공하여 노동시장 참여 및 취업 촉진 지원,맞춤형 프로그램을 제공 및 참여수당 지급,80명,-,2004,23. 8. 8(화) ~ 23. 9. 22(금),만 18세 ~ 39세,-,미취업자,-,-,구직단념청년등,-,만 18 ~ 39세 청년 누구나,익산청년시청 홈페이지 로그인 후 신청,신청서개인정보 수집이용에 관한 동의서,자격검토,https://youthforest.iksan.go.kr,-,-,익산시,-,063-918-6081,익산시,-,063-918-6081,-,일자리
25,R2023091217191,중앙부처,중앙부처,23-2차 고용연계 전문인력 양성과정,환경산업 예비인력을 대상으로 환경기술(환경안전·보건 분야) 교육과정 운영 및 청년인력 취업 지원,-,-,2023.07.19.~10.12.,2004,2023.06.07.~07.06.,만 20세 ~ 60세,이공계열(환경 보건 등),미취업자,-,대학 졸업(예정),-,-,-,-,-,-,-,-,-,-,-,김혜진 전문연구원(02-2284-1719),한국환경산업기술원 기업육성실,-,-,신청서 상 허위기재 기재착오 및 누락 연락불능 등으로 인한 불이익은 응시자 본인의 책임으로 함,참여
26,R2023091217189,중앙부처,중앙부처,23-1차 고용연계 전문인력 양성과정,환경산업 예비인력을 대상으로 환경기술(환경안전·보건 분야) 교육과정 운영 및 청년인력 취업 지원,-,-,2023.01.01~2023.12.31,2004,2023.03.01.~03.31.,만 20세 ~ 60세,이공계열(환경 보건 등),미취업자,-,대학 졸업(예정),-,-,-,-,-,-,-,-,-,-,-,김혜진 전문연구원(02-2284-1719),한국환경산업기술원 기업육성실,-,-,신청서 상 허위기재 기재착오 및 누락 연락불능 등으로 인한 불이익은 응시자 본인의 책임으로 함,참여
27,R2023091217187,중앙부처,중앙부처,중소기업취업청년 전월세보증금 대출,중소기업에 취업한 청년들에게 저리의 중소기업 취업청년 전월세보증금을 대출,- 대출금리 : 연 1.5%\n- 대출한도 : 최대 1억원 이내\n- 대출기간 : 최초 2년(4회 연장 최장 10년 이용가능),-,-,2001,-,만 19세 ~ 34세,제한없음,6001,7009,제한없음,아래의 요건을 모두 충족하는 자\n1. (계약) 주택임대차계약을 체결하고 임차보증금의 5프로 이상을 지불한 자\n2. (세대주) 대출접수일 현재 민법상 성년(만 19세가 되는 해의 1월 1일 맞이한 미성년자 포함)인 만 34세 이하 세대주 및 세대주 예정자(병역의무를 이행한 경우 병역 복무기간에 비례하여 자격기간을 연장하되 최대 만 39세까지 연장)\n3. (무주택) 세대주를 포함한 세대원 전원이 무주택인 자\n4. (중복대출 금지) 주택도시기금대출 은행재원 전세자금대출 및 주택담보대출 미이용자\n(주택도시기금대출) 성년인 세대원 전원(세대가 분리된 배우자 및 자녀 결혼예정 배우자 배우자의 직계존속과 동거세대를 구성하는 경우 배우자의 직계존속 포함)이 기금 대출을 이용 중이면 대출 불가\n(전세자금대출 및 주택담보대출) 차주 및 배우자(결혼예정 또는 분리된 배우자 포함)가 전세자금대출 및 주택담보대출을 이용 중이면 대출 불가\n(임차중도금대출 중복예외허용) 한국주택금융공사 주택보증서 담보로 취급된 기금 임차중도금(잔금포함) 대출을 이용 중인 대출자가 타 물건지에서 한국주택금융공사 주택보증서 담보로 기금 또는 은행재원 전세대출을 이용하고자 하는 경우\n5. (소득) 5천만원(외벌이 가구 또는 단독세대주인 경우 3천5백만원) 이하인 자\n6. (자산) 대출신청인 및 배우자의 합산 순자산 가액이 통계청에서 발표하는 최근년도 가계금융복지조사의 ‘소득 5분위별 자산 및 부채현황’ 중 소득 3분위 전체가구 평균값 이하(십만원 단위에서 반올림)인 자\n2023년도 기준 3.61억원\n7. (신용도) 아래 요건을 모두 충족하는 자\n신청인(연대입보한 경우 연대보증인 포함)이 한국신용정보원 “신용정보관리규약”에서 정하는 아래의 신용정보 및 해제 정보가 남아있는 경우 대출 불가능\n1) 연체 대위변제?대지급 부도 관련인 정보\n2) 금융질서문란정보 공공기록정보 특수기록정보\n3) 신용회복지원등록정보\n그 외 부부에 대하여 대출취급기관 내규로 대출을 제한하고 있는 경우에는 대출 불가능\n8. (공공임대주택) 대출접수일 현재 공공임대주택에 입주하고 있는 경우 불가\n대출신청 물건지가 해당 목적물인 경우 또는 대출신청인 및 배우자가 퇴거하는 경우 대출가능\n9. (중소기업) 아래 중 하나에 해당하는 경우\n① 중소기업 취업자\n대출접수일 기준 중소?중견기업 재직자 (단 소속기업이 대기업 사행성 업종 공기업 등에 해당하거나 대출신청인이 공무원인 경우 대출제외)\n② 청년창업자\n중소기업진흥공단의 ‘청년전용 창업자금’ 기술보증기금의 ‘청년창업기업 우대프로그램’ 신용보증기금의 ‘유망창업기업 성장지원프로그램’ ‘혁신스타트압 성장지원프로그램’ 지원을 받고 있는 자,-,-,-,-,-,https://enhuf.molit.go.kr,http://nhuf.molit.go.kr/FP/FP05/FP0502/FP05020601.jsp,-,국토교통부 주택기금과,-,-,주택도시보증공사,-,-,-,주거
28,R2023091217186,광주,지자체,청년 운전면허 취득비용 지원,취약계층 청년층의 취업 경쟁력 확보 및 고용 기회 확대 보장을 위하여 운전면허 취득비용 지원,운전면허 교육 이수 면허시험(필기 기능 도로주행) 응시료 학원 수강료 등 운전면허 취득에 필요한 비용 지원(1인당 30만원),500명,2023.03.01.~2023.12.31.,2001,-,제한없음,-,-,-,-,-,-,-,신청자 거주지 관할 구청 청년부서,공고문 참조,서류 심사 후 적격 여부 확인(수시),-,-,-,광주광역시 청년정책관,나인성 주무관,062-613-2723,-,-,-,-,복지
29,R2023091217165,광주,지자체,청년 교통수당 드림,취업준비와 생활비 등으로 어려움을 겪고 있는 청년들에게 교통비를 지원하여 구직활동 참여를 지원,대중교통 전용카드 30만원 지급(일시불 교통카드 충전),1000명,2023.08.09.~2023.12.31.,2001,사정에 따라 변경 될 수 있습니다.,제한없음,-,-,-,-,-,-,-,청년교통수당드림 홈페이지 (https://www.gjdream.kr) - 모든 서류는 스캔?촬영(JPG/PDF) 후 성명.zip파일로 압축하여 업로드,공고문 참고(지원신청서 개인정보동의서 주민등록등본 최종학력증명서 건강보험료 납부확인서 건강보험자격확인서 고용보험 피보험자격 이력내역서 등),광주광역시 홈페이지 및 청년정책플랫폼 지원자 선정 공고,http://www.gjdream.kr,-,-,광주광역시 청년정책관,고민수 주무관,062-613-2721,(주)한페이시스,-,062-601-0041,-,일자리
30,R2023090617063,광주,지자체,청년 구직자 취업장려금 지원사업 공고,청년의 구직활동을 촉진하고 장기재직을 유도,취업장려금 1인당 500천원 지원(1회),청년 구직자 170명,2023.02.06.~2023.12.31.,2001,-,제한없음,-,-,-,-,-,-,정부 및 지방자치단체에서 시행중인 근로자에게 직접 지원하는 사업에 참여중인 사람 또는 참여하여 중복 성격의 지원금을 받은 사람|사업자등록이 되어 있는 사람|재직기업의 사업주 또는 배우자 사업주 또는 배우자의 직계존비속 형제?자매관계에 있는 사람|공공근로 지역공동체일자리사업 등 재정지원일자리에 참여중인 사람|대학 및 대학원 재학생(단 졸업예정자는 가능)|중소기업 인력지원 특별법 제3조의 지원 제외업체에 근무하는 사람,남구청 일자리정책과(6층) 방문 및 우편 e-mail 신청(ckh5743@korea.kr),청년 구직자 취업장려금 지원신청서 1부|개인정보수집?이용?제공동의서 1부|주민등록등본 1부(가구소득액 조회)|구직활동 확인서 1부|건강보험납입내역서 1부|재직증명서 또는 4대보험 가입내역서 1부|참여적격확인서 1부,지원요건 충족 시 신청 월의 30일(휴일인 경우 다음 날) 지급,-,-,-,남구 일자리정책과,-,-,-,-,-,지원금을 부정 수급할 의도로 신청서 및 관련서류를 허위로 제출한 경우 환수조치|부정수급 적발 시 신청자에 대한 지원 즉시 중단 후 해당금액 환수|지원금 지급 후 제외대상 해당 자격요건 미비 또는 증빙자료 허위 제출 등이 발견되거나 기타 부정한 방법으로 지원금을 받은 사실이 확인된 경우「공공재정 부정이익 환수 등에 관한 법률」제8조 제9조 및 같은 법 시행령 제3조 제5조 규정에 따라 지원금(이자포함) 전액 환수,일자리
31,R2023071116763,전북,지자체,2023년 청년취업 희망디딤돌,청년층에 단계별 맞춤형 취업지원을 통한 취업능력을 고취시키기 위하여 2023년 청년취업 희망디딤돌 지원사업,취업역량 강화교육 구직활동비 지원(1인당 최대 40만원) 성공정착 지원(1인당 50만원) 등,70명,null,2001,"참여신청종료 
2023년 8월 2일 이후 신청하는 경우 요건검토 예비 대상자로 분류되어 참여 취소자 등 공석이 발생하는 경우 선착순 요건검토를 통해 참여신청서를 접수할 예정",만 18세 ~ 39세,제한없음,미취업자,제한없음,제한없음,"① 전라북도 내 거주자
② 신청(접수)일 기준 만 18세 이상 만 39세 이하 
③ 신청(접수)일 기준 미취업자 미창업자
④ 워크넷 유효 구직신청자",null,"① 전라북도 외 거주자(1개월 이내 전입 시 지원 가능)
② 신청(접수)일 기준 만 18세 미만 또는 만 39세 초과
③ 지원사업 참여 중 재직 중인 자 사업주인 자 
④ 워크넷 구직 비희망자
⑤ 구직활동지원금 실업급여 국민취업지원제도 참여자 등 취업 관련 지원금 수혜 중인 자
⑥ 전년도 사업참여 수혜자 및 유사사업 수혜자
⑦ 제출서류 미충족자 사업의 운영목적에 부합하지 않는 자 등",전라북도일자리센터 홈페이지(www.1577-0365.or.kr) 접속 후 온라인 접수,참여신청서 개인정보동의서,지원사업 홍보>신청 및 접수>(1단계) 취업역량 강화교육>(2단계) 취업알선 >(3단계) 구직활동 지원>(4단계) 재직지원/사후관리,http://www.1577-0365.or.kr,null,null,전라북도,null,null,전라북도경제통상진흥원,null,null,전라북도일자리센터 「청년취업 희망디딤돌」 담당자,일자리
32,R2023070716743,대전,지자체,대전 일자리카페 꿈터,청년이 쉽게 접근할 수 있는 대학가 카페를 활용한 취업 컨설팅 공간 마련으로 취업지원 프로그램 운영 및 일자리 지원,취업상담 취업특강 현장·모의면접 취업정보 제공 등,제한 없음,2023.03.01.~2023.12.31.,2004,2023.03.~2023.12.,만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,제한 없음,-,-,"1. 꿈터 네이버 블로그 접속
2. 장소 요일 시간 프로그램 선택 후 신청 
3. 신청 후 상담 진행",-,-,blog.naver.com/dream_space5614,-,-,대전광역시 경제과학국 일자리경제과,김은미 주무관,042-270-4571,(재)대전일자리경제진흥원,대전일자리지원센터 신혜선 책임,042-719-8323,"카페 위치
1. 청춘너나들이(탄방동) 2. 청춘나들목(대전역) 3. 청춘정거장(둔산동)",일자리
33,R2023070716722,대전,지자체,해외취업 지원사업,미취업 청년들의 해외취업에 필요한 어학능력 프로그램 제공 해외취업 설명회 제공 등,해외기업 인재채움 프로젝트 해외취업 설명회 개최 K-Move 스쿨 연수 사업,60명,2023.01.01.~2023.12.31.,2001,연중 수시,만 15세 ~ 39세,제한없음,미취업자,제한없음,제한없음,대전시 주민등록자,-,신청연령이 아닌자 외 타지역 시민,대전비즈 및 대전일자리지원센터 워크넷(구직활동) 신청서 제출,워크넷(구직활동) 신청서,대전일자리지원센터 접수 진행,http://www.djba.or.kr,https://www.djbea.or.kr/board?menuId=MENU00361&siteId=null1,https://www.djbea.or.kr/,대전광역시 경제과학국 일자리경제과,고동우 주무관,042-270-4573,(재)대전일자리경제진흥원,대전일자리지원센터  고진영 책임,042-719-8333,-,일자리
34,R2023070716721,대전,지자체,대전일자리지원센터 운영,특성화고 청년에게 취업에 필요한 직업 상담 등을 통해 진로에 맞는 일자리 제공,특성화 마이스터고 등 취업컨설팅 운영,12개교 참여학생,2023.01.01.~2023.12.31.,2001,상시,만 15세 ~ 39세,제한없음,미취업자,제한없음,고교 재학,대전시 주민등록자,특성화고 대상 희망학교 사전수요조사 및 학교 여건에 맞추어 컨설팅 프로그램 진행,특성화고 학생이 아닌 시민,특성화고 별 공문 혹은 팩스 접수,취업컨설팅 교육 참여 신청서,-,https://daejeon.work.go.kr/main.do/main.do,-,https://daejeon.work.go.kr/main.do/main.do,대전광역시 경제과학국 일자리경제과,고동우 주무관,042-270-4573,(재)대전일자리경제진흥원,대전일자리지원센터 고진영 책임,042-719-8333,-,일자리
35,R2023070716733,대전,지자체,대학 일자리플러스센터 운영,대학 내 진로 통합서비스 전달체계 구축을 통한 대학의 취업역량 강화 및 특화된 맞춤형 고용서비스 제공,대학일자리플러스센터 설치로 진로 통합서비스 제공,5개 대학,2023.03.~2024.02.,2004,2023.01.25.~2023.02.07.,제한없음,제한없음,미취업자,제한없음,대학 재학,대학일자리플러스센터 운영비 지원을 받지 않는 관내 대학,-,-,고용노동부 공모 접수,고용노동부 심사,2023.02.27.,https://www.moel.go.kr/,https://www.moel.go.kr/,-,대전광역시 경제과학국 일자리경제과,남기문 주무관,042-270-4574,(재)대전일자리경제진흥원,대전일자리지원센터 고진영 책임,042-719-8333,-,일자리
36,R2023070716732,대전,지자체,대학 취업역량강화지원,대학생 취업특강 진로지도 등 대학별 특성에 맞는 사업 지원으로 대학의 취업역량 강화 도모,취업상담 취업특강 현장·모의면접 취업정보 제공 등,4개 대학,2023.03.01.~2023.12.31.,2004,2023.02.25.~2023.03.10.,제한없음,제한없음,미취업자,제한없음,대학 재학,대학일자리플러스센터 운영비 지원을 받지 않는 관내 대학,-,-,(재)대전일자리경제진흥원 대전일자리지원센터 방문접수,사업제안서 및 구비서류(붙임) 7부,-,https://www.djbea.or.kr/pms/an/an_0101/02/form.tab?TSK_PBNC_ID=2022-0051,https://www.djbea.or.kr/,-,대전광역시 경제과학국 일자리경제과,남기문 주무관,042-270-4574,(재)대전일자리경제진흥원,대전일자리지원센터 신혜선 책임,042-719-8323,-,일자리
